                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0262,                0.59548,                0.95697,                0.88205,                0.73566,                0.80999,                0.54054,                 1.1295,                0.63377,                 1.0209,               0.000948,               0.000948,               0.000948
                     36,                0.99966,                0.58268,                0.95379,                0.79848,                0.71264,                0.77236,                0.51335,                 1.1039,                0.64019,                 1.0154,             0.00093385,             0.00093385,             0.00093385
                     37,                0.98434,                0.57413,                0.95269,                0.81084,                0.69926,                0.76552,                0.51635,                 1.1096,                0.66342,                 1.0376,              0.0009197,              0.0009197,              0.0009197
                     38,                  1.009,                 0.5828,                  0.955,                0.88629,                0.74678,                0.83346,                0.54147,                 1.1185,                 0.6205,                 1.0141,             0.00090556,             0.00090556,             0.00090556
                     39,                0.98292,                0.56754,                0.95419,                0.79474,                0.78769,                 0.8135,                0.55679,                 1.0873,                0.62138,                 1.0044,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0025,                0.57643,                0.95839,                0.71362,                0.71633,                0.75798,                  0.512,                 1.1243,                0.69362,                 1.0301,             0.00087726,             0.00087726,             0.00087726
                     41,                0.98363,                0.56651,                0.95232,                0.84383,                0.81556,                0.85645,                0.57618,                 1.1048,                0.61441,                0.99894,             0.00086312,             0.00086312,             0.00086312
                     42,                0.97795,                0.56452,                  0.952,                0.83546,                 0.7873,                0.81255,                0.55244,                 1.0753,                0.65169,                 1.0057,             0.00084897,             0.00084897,             0.00084897
                     43,                0.97287,                0.54875,                0.93803,                0.83831,                0.76082,                0.78655,                0.52981,                 1.0775,                0.59343,                 1.0098,             0.00083482,             0.00083482,             0.00083482
                     44,                0.95951,                0.53714,                0.94046,                0.91088,                0.73944,                0.83529,                0.56427,                 1.0877,                0.59924,                 0.9999,             0.00082067,             0.00082067,             0.00082067
                     45,                 0.9712,                 0.5551,                0.94675,                 0.8282,                0.72203,                0.80412,                0.54873,                 1.0799,                0.59683,                 1.0033,             0.00080653,             0.00080653,             0.00080653
                     46,                0.96839,                0.54664,                0.94516,                 0.8293,                0.70898,                0.80027,                0.53571,                 1.0976,                0.59455,                 1.0052,             0.00079238,             0.00079238,             0.00079238
                     47,                0.93771,                0.51901,                0.94135,                0.87386,                0.69781,                0.78839,                0.54246,                 1.0996,                 0.6425,                 1.0088,             0.00077823,             0.00077823,             0.00077823
                     48,                0.96035,                0.53507,                0.94561,                0.88024,                0.74354,                 0.8163,                0.55553,                 1.0975,                0.59279,                 1.0061,             0.00076409,             0.00076409,             0.00076409
                     49,                 0.9462,                0.52888,                0.93963,                0.86269,                0.72532,                0.82125,                0.55585,                 1.0979,                0.61604,                 1.0118,             0.00074994,             0.00074994,             0.00074994
                     50,                0.96014,                0.52759,                0.94345,                0.93101,                0.68867,                0.82434,                0.56828,                  1.091,                0.58894,                 1.0007,             0.00073579,             0.00073579,             0.00073579
                     51,                0.96148,                0.54256,                0.94901,                 0.8456,                0.71018,                0.80815,                0.53378,                  1.101,                0.60938,                0.99633,             0.00072164,             0.00072164,             0.00072164
                     52,                  0.965,                0.53356,                0.93797,                0.89727,                0.74857,                0.82952,                0.56496,                 1.0907,                0.57731,                0.99589,              0.0007075,              0.0007075,              0.0007075
                     53,                 0.9464,                0.51644,                0.93557,                0.86057,                0.75023,                0.84198,                 0.5716,                 1.0993,                0.58632,                 1.0085,             0.00069335,             0.00069335,             0.00069335
                     54,                0.92989,                0.51049,                0.93283,                0.81195,                0.79678,                0.82861,                 0.5634,                 1.0924,                0.57648,                0.99782,              0.0006792,              0.0006792,              0.0006792
                     55,                0.94703,                0.51356,                0.92766,                0.89297,                0.73943,                0.83574,                0.56895,                 1.0901,                0.58354,                  1.005,             0.00066506,             0.00066506,             0.00066506
